Dates,counter,Stock.,High,low,Open,Close,volume,adj_close
12/1/17,0002.KL,KOTRA,1.690000057,1.690000057,1.690000057,1.690000057,0,1.651675701
12/4/17,0002.KL,KOTRA,1.690000057,1.690000057,1.690000057,1.690000057,0,1.651675701
12/5/17,0002.KL,KOTRA,1.679999948,1.639999986,1.649999976,1.679999948,11200,1.641902328
12/6/17,0002.KL,KOTRA,1.639999986,1.639999986,1.639999986,1.639999986,10400,1.602809548
12/7/17,0002.KL,KOTRA,1.639999986,1.639999986,1.639999986,1.639999986,0,1.602809548
12/8/17,0002.KL,KOTRA,1.649999976,1.649999976,1.649999976,1.649999976,5000,1.612582684
12/11/17,0002.KL,KOTRA,1.639999986,1.639999986,1.639999986,1.639999986,7400,1.602809548
12/12/17,0002.KL,KOTRA,1.649999976,1.649999976,1.649999976,1.649999976,5000,1.612582684
12/13/17,0002.KL,KOTRA,1.649999976,1.649999976,1.649999976,1.649999976,0,1.612582684
12/14/17,0002.KL,KOTRA,1.649999976,1.649999976,1.649999976,1.649999976,4000,1.612582684
12/15/17,0002.KL,KOTRA,1.649999976,1.649999976,1.649999976,1.649999976,10800,1.612582684
12/18/17,0002.KL,KOTRA,1.75,1.659999967,1.659999967,1.700000048,63800,1.661448956
12/19/17,0002.KL,KOTRA,1.700000048,1.700000048,1.700000048,1.700000048,0,1.661448956
12/20/17,0002.KL,KOTRA,1.720000029,1.700000048,1.700000048,1.720000029,35000,1.680995464
12/21/17,0002.KL,KOTRA,1.720000029,1.720000029,1.720000029,1.720000029,0,1.680995464
12/22/17,0002.KL,KOTRA,1.769999981,1.720000029,1.720000029,1.769999981,54300,1.729861498
12/25/17,0002.KL,KOTRA,1.769999981,1.769999981,1.769999981,1.769999981,0,1.729861498
12/26/17,0002.KL,KOTRA,1.700000048,1.700000048,1.700000048,1.700000048,34000,1.661448956
12/27/17,0002.KL,KOTRA,1.700000048,1.700000048,1.700000048,1.700000048,0,1.661448956
12/28/17,0002.KL,KOTRA,1.720000029,1.710000038,1.720000029,1.710000038,6000,1.67122221
12/29/17,0002.KL,KOTRA,1.799999952,1.679999948,1.679999948,1.799999952,6000,1.779999852
12/1/17,0008.KL,WILLOW,1.00999999,1.00999999,1.00999999,1.00999999,0,1.00999999
12/4/17,0008.KL,WILLOW,1.00999999,1,1.00999999,1,112100,1
12/5/17,0008.KL,WILLOW,0.99000001,0.985000014,0.99000001,0.99000001,78600,0.99000001
12/6/17,0008.KL,WILLOW,1.00999999,0.985000014,0.99000001,0.995000005,81400,0.995000005
12/7/17,0008.KL,WILLOW,1.019999981,1,1,1.019999981,40200,1.019999981
12/8/17,0008.KL,WILLOW,1.019999981,1.00999999,1.00999999,1.00999999,84700,1.00999999
12/11/17,0008.KL,WILLOW,1,0.99000001,0.99000001,0.995000005,14700,0.995000005
12/12/17,0008.KL,WILLOW,1.059999943,1,1,1.059999943,270200,1.059999943
12/13/17,0008.KL,WILLOW,1.059999943,1.019999981,1.059999943,1.019999981,70100,1.019999981
12/14/17,0008.KL,WILLOW,1.049999952,1.029999971,1.029999971,1.029999971,32100,1.029999971
